   ,Price CPM,Price Code
226,$2.26    ,xbncw0
227,$2.27    ,1wu7dvk
228,$2.28    ,6oqc5c
229,$2.29    ,167ad4w
230,$2.30    ,og0cn4
231,$2.31    ,1nykdmo
232,$2.32    ,b4ju9s
233,$2.33    ,1an3v9c
234,$2.34    ,svturk
235,$2.35    ,1sedvr4
236,$2.36    ,28wu0w
237,$2.37    ,11rgv0g
238,$2.38    ,k06uio
239,$2.39    ,1jiqvi8
240,$2.40    ,dcglc0
241,$2.41    ,1cv0mbk
242,$2.42    ,v3qlts
243,$2.43    ,1umamtc
244,$2.44    ,4gtl34
245,$2.45    ,13zdm2o
246,$2.46    ,m83lkw
247,$2.47    ,1lqnmkg
248,$2.48    ,8wn37k
249,$2.49    ,18f7474
250,$2.50    ,qnx3pc
251,$2.51    ,1q6h4ow
252,$2.52    ,102yo
253,$2.53    ,zjk3y8
254,$2.54    ,hsa3gg
255,$2.55    ,1hau4g0
256,$2.56    ,hnaark
257,$2.57    ,1h5ubr4
258,$2.58    ,zekb9c
259,$2.59    ,1yx4c8w
260,$2.60    ,8rnaio
261,$2.61    ,18a7bi8
262,$2.62    ,qixb0g
263,$2.63    ,1q1hc00
264,$2.64    ,d7gsn4
265,$2.65    ,1cq0tmo
266,$2.66    ,uyqt4w
267,$2.67    ,1uhau4g
268,$2.68    ,4btse8
269,$2.69    ,13udtds
270,$2.70    ,m33sw0
271,$2.71    ,1llntvk
272,$2.72    ,ffdjpc
273,$2.73    ,1exxkow
274,$2.74    ,x6nk74
275,$2.75    ,1wp7l6o
276,$2.76    ,6jqjgg
277,$2.77    ,162akg0
278,$2.78    ,ob0jy8
279,$2.79    ,1ntkkxs
280,$2.80    ,azk1kw
281,$2.81    ,1ai42kg
282,$2.82    ,squ22o
283,$2.83    ,1s9e328
284,$2.84    ,23x1c0
285,$2.85    ,11mh2bk
286,$2.86    ,jv71ts
287,$2.87    ,1jdr2tc
288,$2.88    ,gjbx8g
289,$2.89    ,1g1vy80
290,$2.90    ,yalxq8
291,$2.91    ,1xt5yps
292,$2.92    ,7nowzk
293,$2.93    ,1768xz4
294,$2.94    ,peyxhc
295,$2.95    ,1oxiygw
296,$2.96    ,c3if40
297,$2.97    ,1bm2g3k
298,$2.98    ,tusfls
299,$2.99    ,1tdcglc
300,$3.00    ,37vev4
301,$3.05    ,1dtz75s
302,$3.10    ,n726f4
303,$3.15    ,1r5fpj4
304,$3.20    ,h3b400
305,$3.25    ,17q84qo
306,$3.30    ,uermdc
307,$3.35    ,1l1on40
308,$3.40    ,5zrcow
309,$3.45    ,19y4vsw
310,$3.50    ,jb7v28
311,$3.55    ,1x96ry8
312,$3.60    ,bjj8cg
313,$3.65    ,126g934
314,$3.70    ,vipzwg
315,$3.75    ,1m5n0n4
316,$3.80    ,fzh1c
317,$3.85    ,1gvuqdc
318,$3.90    ,q8xpmo
319,$3.95    ,1u7b8qo
320,$4.00    ,f5dybk
321,$4.05    ,15saz28
322,$4.10    ,sgugow
323,$4.15    ,1j3rhfk
324,$4.20    ,7dpbls
325,$4.25    ,1bc2ups
326,$4.30    ,kp5tz4
327,$4.35    ,1vb9m9s
328,$4.40    ,9lm2o0
329,$4.45    ,108j3eo
330,$4.50    ,yklj40
331,$4.55    ,1p7ijuo
332,$4.60    ,3hv08w
333,$4.65    ,1e3ysjk
334,$4.70    ,nh1rsw
335,$4.75    ,1rffaww
336,$4.80    ,fpd534
337,$4.85    ,16ca5ts
338,$4.90    ,t0tngg
339,$4.95    ,1jnqo74
340,$5.00    ,4ltds0
341,$5.05    ,18k6ww0
342,$5.10    ,hx9w5c
343,$5.15    ,1yumfwg
344,$5.20    ,d4ywao
345,$5.25    ,13rvx1c
346,$5.30    ,x45nuo
347,$5.35    ,1nr2olc
348,$5.40    ,21f4zk
349,$5.45    ,1fze1vk
350,$5.50    ,pch14w
351,$5.55    ,1tauk8w
352,$5.60    ,e8x9ts
353,$5.65    ,14vuakg
354,$5.70    ,rkds74
355,$5.75    ,1i7asxs
356,$5.80    ,8567eo
357,$5.85    ,1c3jqio
358,$5.90    ,lgmps0
359,$5.95    ,1w2qi2o
360,$6.00    ,ad2ygw
361,$6.05    ,10zzz7k
362,$6.10    ,xo4um8
363,$6.15    ,1ob1vcw
364,$6.20    ,2lebr4
365,$6.25    ,1d7i41s
366,$6.30    ,mkl3b4
367,$6.35    ,1qiymf4
368,$6.40    ,hast1c
369,$6.45    ,17xpts0
370,$6.50    ,um9beo
371,$6.55    ,1l96c5c
372,$6.60    ,6791q8
373,$6.65    ,1a5mku8
374,$6.70    ,jipk3k
375,$6.75    ,1xgogzk
376,$6.80    ,br0xds
377,$6.85    ,12dxy4g
378,$6.90    ,vq7oxs
379,$6.95    ,1md4pog
380,$7.00    ,nh62o
381,$7.05    ,1g9dn9c
382,$7.10    ,pmgmio
383,$7.15    ,1tku5mo
384,$7.20    ,eiwv7k
385,$7.25    ,155tvy8
386,$7.30    ,ruddkw
387,$7.35    ,1ihaebk
388,$7.40    ,6r88hs
389,$7.45    ,1aplrls
390,$7.50    ,k2oqv4
391,$7.55    ,1uosj5s
392,$7.60    ,8z4zk0
393,$7.65    ,zm20ao
394,$7.70    ,zh27ls
395,$7.75    ,1q3z8cg
396,$7.80    ,4eboqo
397,$7.85    ,1f0fh1c
398,$7.90    ,odigao
399,$7.95    ,1sbvzeo
400,$8.00    ,glttkw
401,$8.50    ,wp69s0
402,$9.00    ,8k5lhc
403,$9.50    ,mzkhds
404,$10.00   ,bc1jb4
405,$10.50   ,sn37k0
406,$11.00   ,3o3r40
407,$11.50   ,i3in0g
408,$12.00   ,dxoq9s
409,$12.50   ,xcwb28
410,$13.00   ,6kzhmo
411,$13.50   ,q072f4
412,$14.00   ,9cvfgg
413,$14.50   ,tm1se8
414,$15.00   ,1b77cw
415,$15.50   ,m1uups
416,$16.00   ,h225ts
417,$16.50   ,vhh1q8
418,$17.00   ,7cgdfk
419,$17.50   ,nfstmo
420,$18.00   ,db7n5s
421,$18.50   ,rqmj28
422,$19.00   ,2rn2m8
423,$19.50   ,joyayo
424,$20.00   ,ep5m2o
425,$21.00   ,5a5w5c
426,$22.00   ,ajy6f4
427,$23.00   ,dlvk
428,$24.00   ,fyq9ds
429,$25.00   ,7x21a8
430,$26.00   ,c0e1og
431,$27.00   ,3yptkw
432,$28.00   ,dec0lc
433,$29.00   ,61mry8
434,$30.00   ,9nhhxc
435,$31.00   ,1zjpq8
436,$32.00   ,h8xds0
437,$33.00   ,6pct8g
438,$34.00   ,co42yo
439,$35.00   ,2yiakg
